timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt,S4_azimuth
2003-04-22 22:00:00-04:00,0,0,0,147.20788009637283,147.20788009637283,255.99103370360194,0.0,,,
2003-04-22 23:00:00-04:00,0,0,0,160.00842569380453,160.00842569380453,239.4463294971951,0.0,,,
2003-04-23 00:00:00-04:00,0,0,0,168.69234667396847,168.69234667396847,192.75785420172295,0.0,,,
2003-04-23 01:00:00-04:00,0,0,0,163.8232788473997,163.8232788473997,130.8510720294501,0.0,,,
2003-04-23 02:00:00-04:00,0,0,0,151.71321493296296,151.71321493296296,108.11986053689685,0.0,,,
2003-04-23 03:00:00-04:00,0,0,0,138.2949998137072,138.2949998137072,97.6919713703245,0.0,,,
2003-04-23 04:00:00-04:00,0,0,0,124.57831558561236,124.57831558561236,90.77910159152941,0.0,,,
2003-04-23 05:00:00-04:00,0,0,0,110.83370205208536,110.83370205208536,85.03531232579923,0.0,,,
2003-04-23 06:00:00-04:00,0,0,0,97.20411856089193,97.20411856089193,79.49241283040715,0.0,,,
2003-04-23 07:00:00-04:00,42,40,38,83.69318718500827,83.82750520719134,73.51449310125895,42.30088378881228,0.7163899733625676,12.520833517088988,90.0
2003-04-23 08:00:00-04:00,246,355,130,70.85162895741321,70.89870573739964,66.44643247105358,246.16993179126678,0.06907796392958399,69.2540883473826,90.0
2003-04-23 09:00:00-04:00,470,687,112,58.72339217344556,58.750601853828066,57.37937548210175,468.3910588861841,-0.3423278965565719,54.20024379345445,90.0
2003-04-23 10:00:00-04:00,654,807,112,47.988785510755946,48.00719063614152,44.92328299770821,651.9131303205826,-0.3190932231525105,38.09505453357362,90.0
2003-04-23 11:00:00-04:00,778,878,101,39.82837079964744,39.84220992456855,27.30125994098387,775.138712068015,-0.36777479845565236,20.933532723798493,90.0
2003-04-23 12:00:00-04:00,829,888,108,36.05263090332262,36.06471208722752,4.176153398860777,825.8171185071737,-0.383942278989898,3.0344866631504317,90.0
2003-04-23 13:00:00-04:00,804,859,124,37.99772527021621,38.01068975217449,339.9610986695392,800.8025566993633,-0.39769195281550723,14.986245988184322,270.0
2003-04-23 14:00:00-04:00,703,831,112,44.92430434876018,44.94084640338591,320.3767243979037,700.2120807593807,-0.39657457192308915,32.45856696174295,270.0
2003-04-23 15:00:00-04:00,537,752,103,54.97246062097145,54.99607481146283,306.40951805249836,534.371679881564,-0.4894450872320339,48.94626196684154,270.0
2003-04-23 16:00:00-04:00,323,560,100,66.73115740921898,66.76938264279636,296.4137440532021,320.8824884367808,-0.6555763353619759,64.35207440585418,270.0
2003-04-23 17:00:00-04:00,102,192,67,79.40280819373606,79.48734362139761,288.8195873158862,102.03092178056322,0.030315471140410492,22.46272287025073,270.0
2003-04-23 18:00:00-04:00,4,0,4,92.74326643197398,92.74326643197398,282.5839501307211,4.0,0.0,,
2003-04-23 19:00:00-04:00,0,0,0,106.30870072997884,106.30870072997884,276.99739712492806,0.0,,,
2003-04-23 20:00:00-04:00,0,0,0,120.03509220020831,120.03509220020831,271.4535048312773,0.0,,,
2003-04-23 21:00:00-04:00,0,0,0,133.7923523835962,133.7923523835962,265.1698420204878,0.0,,,
2003-04-23 22:00:00-04:00,0,0,0,147.38580573656674,147.38580573656674,256.5189460809114,0.0,,,
2003-04-23 23:00:00-04:00,0,0,0,160.2398718748724,160.2398718748724,240.16283925941573,0.0,,,
2003-04-24 00:00:00-04:00,0,0,0,169.02731438604263,169.02731438604263,192.88469000118573,0.0,,,
2003-04-24 01:00:00-04:00,0,0,0,164.0225343380767,164.0225343380767,129.87540722578984,0.0,,,
2003-04-24 02:00:00-04:00,0,0,0,151.82043457883861,151.82043457883861,107.44770446959944,0.0,,,
2003-04-24 03:00:00-04:00,0,0,0,138.3726865329305,138.3726865329305,97.20115590513973,0.0,,,
2003-04-24 04:00:00-04:00,0,0,0,124.648647460158,124.648647460158,90.38080541405782,0.0,,,
2003-04-24 05:00:00-04:00,0,0,0,110.90754949846266,110.90754949846266,84.68548843288835,0.0,,,
2003-04-24 06:00:00-04:00,0,0,0,97.28902954715537,97.28902954715537,79.16578565927335,0.0,,,
