timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt
2003-07-09 00:00:00+04:00,0,0,0,133.11462409961635,133.11462409961635,1.1193545893171404,0.0,,
2003-07-09 01:00:00+04:00,0,0,0,130.65469970643764,130.65469970643764,19.474872090931456,0.0,,
2003-07-09 02:00:00+04:00,0,0,0,124.35995483357564,124.35995483357564,35.07542736667824,0.0,,
2003-07-09 03:00:00+04:00,0,0,0,115.3449329253973,115.3449329253973,47.23960113009355,0.0,,
2003-07-09 04:00:00+04:00,0,0,0,104.58489783632238,104.58489783632238,56.5505295818777,0.0,,
2003-07-09 05:00:00+04:00,2,0,2,92.73059875217908,92.73059875217908,63.82519005396142,2.0,0.0,
2003-07-09 06:00:00+04:00,60,38,53,80.08946346484665,80.18046081256091,69.72701198691902,59.48073037452095,-0.8654493757984127,20.993799348323094
2003-07-09 07:00:00+04:00,249,244,155,67.13826801318382,67.17767100404919,74.73881059484972,249.6414561900277,0.2576129277219665,66.39267373864922
2003-07-09 08:00:00+04:00,484,505,186,53.85290708181576,53.875825545155976,79.23113789243462,483.7162936188824,-0.05861702089206835,53.36671446823542
2003-07-09 09:00:00+04:00,700,658,199,40.363684408918814,40.37794468579265,83.56589520836565,700.2563309399841,0.036618705712011694,40.18512931895287
2003-07-09 10:00:00+04:00,867,762,187,26.753618937302292,26.762076445472083,88.35063484972227,867.3776496406823,0.043558205384349145,26.744076116130287
2003-07-09 11:00:00+04:00,967,823,166,13.118548114381554,13.122444384512889,96.04806419353872,967.5090888935608,0.05264621443235048,13.04803358297707
2003-07-09 12:00:00+04:00,999,826,173,2.1876185096926406,2.188230831600407,201.44915803801896,998.3976647735808,-0.06029381645837837,0.8002953248888645
2003-07-09 13:00:00+04:00,951,792,184,14.688565705403718,14.692951794514798,265.22745960194345,950.1007773784888,-0.09455548070569625,14.639829604543522
2003-07-09 14:00:00+04:00,829,685,227,28.331191167584954,28.340237297160648,272.2211739671676,829.898774888012,0.10841675368057724,28.313205756351906
